Report Date,Status,Type,L Price,Address,District,Bds,Bths,Liv-SF,CITY,STATE,ZIP,,,
9/6/2025,ACT,SF,"$700,000 ",2055 Kanoe St,Kihei,0,1,420,KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$850,000 ",203 Hoalike St,Kihei,2,1,864,KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$875,000 ",119 Kupalaiki Loop,Kihei,4,3,"1,152",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$895,000 ",293 Manini Pl,Kihei,2,1.5,"1,241",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$909,999 ",170 Kukulu Pl,Kihei,3,1.5,"1,056",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$998,000 ",14 Kuapapa Pl,Kihei,3,2,"1,056",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$999,000 ",128 Oluea Cir,Kihei,3,2,"1,240",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,075,000 ",55 Noolu St,Kihei,3,2,"1,256",KIHEI,HI,96753,,,S
9/6/2025,ACT,SF,"$1,099,000 ",133 Makalauna St,Kihei,3,2,"1,224",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,149,000 ",917 Kahoku Pl,Kihei,3,2,"1,336",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,150,000 ",2730 Ohina St,Kihei,3,2,"1,256",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,160,000 ",24 Laumakani Loop,Kihei,3,2.5,"1,473",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,195,000 ",5 Waikalani Pl,Kihei,4,3,"1,774",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,198,000 ",151 Kauhaa St,Kihei,4,2,"1,248",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,200,000 ",144 E Lipoa St,Kihei,3,1.5,"1,360",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,245,000 ",98 E Welakahao Rd,Kihei,3,2,"1,600",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,250,000 ",72 KUPUNA St,Kihei,4,3,"1,692",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,250,000 ",356 Hoalike St,Kihei,3,2,"1,892",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,250,000 ",335 Hoalike St,Kihei,4,2.5,"1,384",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,275,000 ",495 Kaiolohia St,Kihei,4,3,"1,708",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,275,000 ",24 Wawali St,Kihei,4,3,"1,808",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,290,000 ",118 Waiapo Pl,Kihei,3,2.5,"1,560",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,299,000 ",40 Ho'olalei Way,Kihei,3,2,"1,297",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,375,000 ",177 Luakaha Cir,Kihei,4,3,"1,780",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,400,000 ",103 Eleu Pl,Kihei,4,2,"1,927",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,400,000 ",155 Kulipuu St,Kihei,3,2,"1,622",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,450,000 ",402 Auhana Rd,Kihei,4,3,"2,348",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,495,000 ",159 Auhana Rd,Kihei,2,2,"1,034",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,499,000 ",27 Heona Pl,Kihei,3,2,"1,954",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,600,000 ",216 Waipahe Pl,Kihei,3,3.5,"1,748",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,649,000 ",2670 Kanakanui Rd,Kihei,3,3,"1,948",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,680,000 ",2055 Kanoe St,Kihei,4,2,"1,435",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,690,000 ",16 E Waipuilani Rd,Kihei,2,1,760,KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,849,000 ",194 Kamakoi Loop,Kihei,3,3,"1,936",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,959,000 ",98 mehani Pl,Kihei,4,3.5,"2,136",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$1,999,000 ",139 Mehani Pl,Kihei,3,2,"3,981",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$2,099,000 ",30 Laukahi St,Kihei,5,4,"2,707",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$2,100,000 ",2177 Hihimanu St,Kihei,2,2,"1,831",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$2,150,000 ",2553 Hihimanu St,Kihei,3,3,"2,548",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$2,150,000 ",2597 Moolio Pl,Kihei,4,3,"1,912",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$2,195,000 ",2111 Umeke Cir,Kihei,2,2,"1,832",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$2,200,000 ",1699 Hihimanu St,Kihei,4,3,"2,548",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$2,250,000 ",126 Ponana St,Kihei,3,3,"1,762",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$2,295,000 ",700 Halelea St,Kihei,4,3,"2,516",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$2,350,000 ",85 Ahekolo St,Kihei,5,3,"2,447",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$2,475,000 ",357 Umeke St,Kihei,4,3,"2,548",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$2,635,808 ",137 Hoohale St,Kihei,4,4,"2,490",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$3,199,000 ",153 Hokai Pl,Kihei,5,3,"3,175",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$5,999,000 ",1756 Halama St,Kihei,3,2,"1,412",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$7,500,000 ",2274 S Kihei Rd,Kihei,6,6.5,"3,025",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$15,500,000 ",3002 S Kihei Rd,Kihei,3,3,"5,468",KIHEI,HI,96753,,,
9/6/2025,ACT,SF,"$27,000,000 ",3254 S Kihei Rd,Kihei,5,5.5,"7,244",KIHEI,HI,96753,,,
